About,Short Summary,Further Reading
'My brain was hurting after that day of cricket',"Meg Lanning, Charlotte Edwards, Nat Sciver-Brunt and Megan Schutt relive a decade's worth of great matches and drunken antics in the Women's Ashes
",https://www.thecricketmonthly.com/story/1380389/i-was-there---charlotte-edwards--meg-lanning--nat-sciver-brunt-and-megan-schutt-on-last-decade-of-women-s-ashes
"Three men on an island: when Smudge, Trav and Marnus cut their teeth in England","A look back to the time Steven Smith, Travis Head and Marnus Labuschagne spent paying their dues in club cricket",https://www.thecricketmonthly.com/story/1380057/when-smudge--trav-and-marnus-cut-their-teeth-in-england
Blowing hot and cold,Cricket sometimes gets the worst of all seasons,https://www.thecricketmonthly.com/story/1377974/photo-feature---weather-extremes-in-cricket
"Rahul Tewatia: 'In 2018, I decided I have to play like I'm the team's main player'",The Gujarat Titans allrounder breaks down some of his most memorable IPL innings,https://www.thecricketmonthly.com/story/1374256/rahul-tewatia---ipl-2023----in-2018--i-decided-i-have-to-play-like-i-m-the-team-s-main-player
Thank queue for waiting,"May 3, 2023: Want to watch the cricket? Get in line. ",https://www.thecricketmonthly.com/story/1372928/photo-feature---waiting-in-lines-for-the-cricket
Dane van Niekerk: the fateful end of a storied career,"Apr 26, 2023: The South Africa allrounder was one of the best in the game. She was all set for a World Cup where her team was expected to go far, but destiny had other plans",https://www.thecricketmonthly.com/story/1370316/how-south-africa-allrounder-dane-van-niekerk-s-storied-career-came-to-a-fateful-end
Which Test captains had the greatest effect on their team's fortunes? ,"Feb 25, 2023: Plus, the canniest captaincy tactics, the zaniest declarations, the luckiest toss winners, the overachievers, and more",https://www.thecricketmonthly.com/story/1360021/stats-analysis---which-test-captains-had-the-greatest-effect-on-their-team-s-fortunes
India vs Australia 2016-17: war minus the shooting,"Feb 6, 2023: Drama, controversy and hard-fought cricket - the 2016-17 Border-Gavaskar Trophy had it all",https://www.thecricketmonthly.com/story/1356828/photo-feature---memorable-moments-from-the-border-gavaskar-trophy-2016-17
Alyssa Healy is a sore loser and she won't apologise for it,"Feb 2, 2023: The Australia keeper-batter on being driven by competitiveness, her performances in recent World Cups, and life with her better half, Mitch Starc",https://www.thecricketmonthly.com/story/1355495/alyssa-healy-talks-about-world-cups--power-hitting--and-life-with-mitchell-starc
Tub thumping,"Jan 22, 2023: When cricketers get wet and wild",https://www.thecricketmonthly.com/story/1355136/photo-feature---baths-in-cricket
'I can't change my body structure. Everybody is not going to be slim',"Jan 17, 2023: How strict is too strict when it comes to fitness testing, and what challenges do large players deal with? Azam Khan, Rahkeem Cornwall, Sisanda Magala and Lizelle Lee tell us",https://www.thecricketmonthly.com/story/1352875/is-cricket-fat-shaming-big-players--azam-khan--rahkeem-cornwall--lizelle-lee-speak
How Avram Glazer of Manchester United finally got his finger in a cricket pie,"Jan 12, 2023: The co-owner of the world's most famous football club tried and failed to buy an IPL franchise, but he's made up now ",https://www.thecricketmonthly.com/story/1353035/how-avram-glazer-of-manchester-united-got-himself-a-team-in-the-ilt20
Which players win the most T20s - and does it matter? ,"Dec 21, 2022: Win-loss records can be a blunt instrument to measure a player's worth with, but franchises are still likely to keep an eye on them during the IPL auction",https://www.thecricketmonthly.com/story/1350356/which-players-win-the-most-t20s---and-does-it-matter
Swing when you're winning,"Dec 14, 2022: Nearly 20 years to the day since his international debut, a look back at the fast bowler's remarkable career, in pictures",https://www.thecricketmonthly.com/story/1349628/photo-feature---jimmy-anderson-s-20-year-career
